firm_name,firm_website,challenge_name,markets,account_size,price,billing_type,currency,profit_target_pct,max_drawdown_pct,daily_drawdown_pct,drawdown_type,minimum_days,maximum_days,payout_frequency_days,payout_split_pct,payout_conditions,platforms,activation_fee,max_payout,contracts,data_feed,source_url,source_type,confidence
Apex Trader Funding,https://apextraderfunding.com/,Evaluation 50K,futures,50000,19.7,monthly,USD,5,4,,intraday_trailing,,,,100,"The product lineup has changed significantly and the current sizes differ from the older 25K/50K/75K/100K/150K structure. Target, drawdown, contract limits and pricing all vary by model, and legacy accounts are not current purchase options. No price is recorded rather than an invented one. Apex prices move with a running promotion and are published as ranges, so none is recorded as the price. Published as a range rather than one figure: $16.70–$24.90 at 25K, $19.70–$24.90 at 50K, $29.70–$39.90 at 100K, $49.70–$59.90 at 150K. Not recorded as a price. The 5% target is stated by the firm as uniform across every account size. The split is 100% of the first $25,000 and 90/10 after it; 90 is recorded as the ongoing rate. Both end-of-day and intraday trailing variants are sold. An activation fee applies on passing.",NinjaTrader; Quantower; TradingView; Tradovate; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; Jigsaw; MotiveWave; EdgeProX; Finamark; VolFix; WealthCharts,,,6/60,"Rithmic, Tradovate, WealthCharts",,,
Apex Trader Funding,https://apextraderfunding.com/,Evaluation 75K,futures,75000,,monthly,USD,5,,,intraday_trailing,,,,100,"The product lineup has changed significantly and the current sizes differ from the older 25K/50K/75K/100K/150K structure. Target, drawdown, contract limits and pricing all vary by model, and legacy accounts are not current purchase options. No price is recorded rather than an invented one. Apex prices move with a running promotion and are published as ranges, so none is recorded as the price. Published as a range rather than one figure: $16.70–$24.90 at 25K, $19.70–$24.90 at 50K, $29.70–$39.90 at 100K, $49.70–$59.90 at 150K. Not recorded as a price. The 5% target is stated by the firm as uniform across every account size. The split is 100% of the first $25,000 and 90/10 after it; 90 is recorded as the ongoing rate. Both end-of-day and intraday trailing variants are sold. An activation fee applies on passing.",NinjaTrader; Quantower; TradingView; Tradovate; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; Jigsaw; MotiveWave; EdgeProX; Finamark; VolFix; WealthCharts,,,,"Rithmic, Tradovate, WealthCharts",,,
Apex Trader Funding,https://apextraderfunding.com/,Evaluation 100K,futures,100000,29.7,monthly,USD,5,3,,intraday_trailing,,,,100,"The product lineup has changed significantly and the current sizes differ from the older 25K/50K/75K/100K/150K structure. Target, drawdown, contract limits and pricing all vary by model, and legacy accounts are not current purchase options. No price is recorded rather than an invented one. Apex prices move with a running promotion and are published as ranges, so none is recorded as the price. Published as a range rather than one figure: $16.70–$24.90 at 25K, $19.70–$24.90 at 50K, $29.70–$39.90 at 100K, $49.70–$59.90 at 150K. Not recorded as a price. The 5% target is stated by the firm as uniform across every account size. The split is 100% of the first $25,000 and 90/10 after it; 90 is recorded as the ongoing rate. Both end-of-day and intraday trailing variants are sold. An activation fee applies on passing.",NinjaTrader; Quantower; TradingView; Tradovate; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; Jigsaw; MotiveWave; EdgeProX; Finamark; VolFix; WealthCharts,,,14/140,"Rithmic, Tradovate, WealthCharts",,,
Apex Trader Funding,https://apextraderfunding.com/,Evaluation 150K,futures,150000,49.7,monthly,USD,5,2.667,,intraday_trailing,,,,100,"The product lineup has changed significantly and the current sizes differ from the older 25K/50K/75K/100K/150K structure. Target, drawdown, contract limits and pricing all vary by model, and legacy accounts are not current purchase options. No price is recorded rather than an invented one. Apex prices move with a running promotion and are published as ranges, so none is recorded as the price. Published as a range rather than one figure: $16.70–$24.90 at 25K, $19.70–$24.90 at 50K, $29.70–$39.90 at 100K, $49.70–$59.90 at 150K. Not recorded as a price. The 5% target is stated by the firm as uniform across every account size. The split is 100% of the first $25,000 and 90/10 after it; 90 is recorded as the ongoing rate. Both end-of-day and intraday trailing variants are sold. An activation fee applies on passing.",NinjaTrader; Quantower; TradingView; Tradovate; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; Jigsaw; MotiveWave; EdgeProX; Finamark; VolFix; WealthCharts,,,17/170,"Rithmic, Tradovate, WealthCharts",,,
Apex Trader Funding,https://apextraderfunding.com/,Evaluation 250K,futures,250000,59.7,monthly,USD,5,2.6,,intraday_trailing,,,,100,"The product lineup has changed significantly and the current sizes differ from the older 25K/50K/75K/100K/150K structure. Target, drawdown, contract limits and pricing all vary by model, and legacy accounts are not current purchase options. No price is recorded rather than an invented one. Apex prices move with a running promotion and are published as ranges, so none is recorded as the price. Published as a range rather than one figure: $16.70–$24.90 at 25K, $19.70–$24.90 at 50K, $29.70–$39.90 at 100K, $49.70–$59.90 at 150K. Not recorded as a price. The 5% target is stated by the firm as uniform across every account size. The split is 100% of the first $25,000 and 90/10 after it; 90 is recorded as the ongoing rate. Both end-of-day and intraday trailing variants are sold. An activation fee applies on passing.",NinjaTrader; Quantower; TradingView; Tradovate; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; Jigsaw; MotiveWave; EdgeProX; Finamark; VolFix; WealthCharts,,,27/270,"Rithmic, Tradovate, WealthCharts",,,
Apex Trader Funding,https://apextraderfunding.com/,Evaluation 300K,futures,300000,69.7,monthly,USD,5,2.5,,intraday_trailing,,,,100,"The product lineup has changed significantly and the current sizes differ from the older 25K/50K/75K/100K/150K structure. Target, drawdown, contract limits and pricing all vary by model, and legacy accounts are not current purchase options. No price is recorded rather than an invented one. Apex prices move with a running promotion and are published as ranges, so none is recorded as the price. Published as a range rather than one figure: $16.70–$24.90 at 25K, $19.70–$24.90 at 50K, $29.70–$39.90 at 100K, $49.70–$59.90 at 150K. Not recorded as a price. The 5% target is stated by the firm as uniform across every account size. The split is 100% of the first $25,000 and 90/10 after it; 90 is recorded as the ongoing rate. Both end-of-day and intraday trailing variants are sold. An activation fee applies on passing.",NinjaTrader; Quantower; TradingView; Tradovate; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; Jigsaw; MotiveWave; EdgeProX; Finamark; VolFix; WealthCharts,,,35/350,"Rithmic, Tradovate, WealthCharts",,,
AquaFunded,,2-Step 10K,cfd,10000,44.5,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $25K at 44.50–64.50.",,,,,,,,
AquaFunded,,2-Step 25K,cfd,25000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $25K at 44.50–64.50.",,,,,,,,
AquaFunded,,2-Step 100K,cfd,100000,234.5,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $25K at 44.50–64.50.",,,,,,,,
AquaFutures,https://www.aquafutures.io/,Standard Evaluation 25K,futures,25000,149,one_time,USD,8,,,eod_trailing,,,14,,"One-step futures evaluation. $163 is the regular price. Drawdown and payout rules depend on the current Standard specification. Payouts every 14 days. No daily loss limit on Standard. Maximum drawdown runs from 6% at the smallest size down to 3.3% at the largest, so it is not recorded as a single figure.",Deepcharts; Tradovate,,,,CME Group,,,
AquaFutures,https://www.aquafutures.io/,Standard Evaluation 50K,futures,50000,163,one_time,USD,8,,,eod_trailing,,,14,,"One-step futures evaluation. $163 is the regular price. Drawdown and payout rules depend on the current Standard specification. Payouts every 14 days. No daily loss limit on Standard. Maximum drawdown runs from 6% at the smallest size down to 3.3% at the largest, so it is not recorded as a single figure.",Deepcharts; Tradovate,,,,CME Group,,,
AquaFutures,https://www.aquafutures.io/,Instant Standard 50K,futures,50000,447,one_time,USD,,4,2.5,eod_trailing,,,,,Instant/direct route with no evaluation. $447 is the regular price. Risk and payout rules are separate from the Standard Evaluation. The maximum drawdown is 4% at most sizes but 3% on the $100K account.,Deepcharts; Tradovate,,,,CME Group,,,
AquaFutures,https://www.aquafutures.io/,Beginner 50K,futures,50000,,,USD,,,2.5,eod_trailing,,,7,,"The programme has been updated with a soft daily drawdown and a one-time payment structure. Price depends on account size. Payouts every 7 days. Published as a 6-8% profit target and a maximum drawdown between 6% and 3.3% depending on size, so neither is recorded as a single figure.",Deepcharts; Tradovate,,,,CME Group,,,
AquaFutures,https://www.aquafutures.io/,Standard Evaluation 100K,futures,100000,306,one_time,USD,8,,,eod_trailing,,,14,,"One-step futures evaluation. $163 is the regular price. Drawdown and payout rules depend on the current Standard specification. Payouts every 14 days. No daily loss limit on Standard. Maximum drawdown runs from 6% at the smallest size down to 3.3% at the largest, so it is not recorded as a single figure.",Deepcharts; Tradovate,,,,CME Group,,,
AquaFutures,https://www.aquafutures.io/,Standard Evaluation 150K,futures,150000,,one_time,USD,8,,,eod_trailing,,,14,,"One-step futures evaluation. $163 is the regular price. Drawdown and payout rules depend on the current Standard specification. Payouts every 14 days. No daily loss limit on Standard. Maximum drawdown runs from 6% at the smallest size down to 3.3% at the largest, so it is not recorded as a single figure.",Deepcharts; Tradovate,,,,CME Group,,,
Atmos Funded,,2-Step 5K,cfd,5000,18.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Atmos Funded,,2-Step 10K,cfd,10000,33.15,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Atmos Funded,,2-Step 25K,cfd,25000,61.75,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Atmos Funded,,2-Step 100K,cfd,100000,246.35,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,1-Step 5K,cfd,5000,30,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,Instant 5K,cfd,5000,54,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,1-Step 10K,cfd,10000,49.5,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,Instant 10K,cfd,10000,75,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,1-Step 25K,cfd,25000,100.5,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,1-Step 50K,cfd,50000,150,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,Instant 50K,cfd,50000,243,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,1-Step 100K,cfd,100000,298.5,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,Instant 100K,cfd,100000,467.25,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian,,Instant 200K,cfd,200000,715.5,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Standard 25K,futures,25000,,one_time,USD,6,6,,trailing,,,5,90,"News trading allowed. The $25K account has no daily loss limit. 40% consistency once funded. $209 is the regular price for the 50K. The supplied price carries an asterisk in the source table, so treat it as provisional. Payouts every 5 days.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Reserve 25K,futures,25000,110,one_time,USD,6,,,eod_trailing,,,,90,No daily loss limit. Funded scaling. 5 winning days for a payout. $110 is the regular price for the 25K.,Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Express 25K,futures,25000,,one_time,USD,,,,,,,,90,"Full contract access during the evaluation, with contract scaling once funded. $178 is the regular price for the 50K.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Direct 25K,futures,25000,,one_time,USD,,,,,,,,90,"Instant funding, no evaluation. Contract limits 1 / 4 / 8 / 12 minis by size, following the Standard contract structure. Prices are the regular list price. Payouts carry a 2% processing fee. A payout processed after the 24-business-hour window pays 100% instead of 90% for that request.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Standard 50K,futures,50000,115.5,one_time,USD,6,4,2,trailing,,,5,90,"News trading allowed. The $25K account has no daily loss limit. 40% consistency once funded. $209 is the regular price for the 50K. The supplied price carries an asterisk in the source table, so treat it as provisional. Payouts every 5 days.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Reserve 50K,futures,50000,,one_time,USD,6,,,eod_trailing,,,,90,No daily loss limit. Funded scaling. 5 winning days for a payout. $110 is the regular price for the 25K.,Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Express 50K,futures,50000,178,one_time,USD,,,,,,,,90,"Full contract access during the evaluation, with contract scaling once funded. $178 is the regular price for the 50K.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Direct 50K,futures,50000,494,one_time,USD,,,,,,,,90,"Instant funding, no evaluation. Contract limits 1 / 4 / 8 / 12 minis by size, following the Standard contract structure. Prices are the regular list price. Payouts carry a 2% processing fee. A payout processed after the 24-business-hour window pays 100% instead of 90% for that request.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Standard 100K,futures,100000,,one_time,USD,6,3.5,2,trailing,,,5,90,"News trading allowed. The $25K account has no daily loss limit. 40% consistency once funded. $209 is the regular price for the 50K. The supplied price carries an asterisk in the source table, so treat it as provisional. Payouts every 5 days.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Reserve 100K,futures,100000,,one_time,USD,6,,,eod_trailing,,,,90,No daily loss limit. Funded scaling. 5 winning days for a payout. $110 is the regular price for the 25K.,Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Express 100K,futures,100000,,one_time,USD,,,,,,,,90,"Full contract access during the evaluation, with contract scaling once funded. $178 is the regular price for the 50K.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Direct 100K,futures,100000,659,one_time,USD,,,,,,,,90,"Instant funding, no evaluation. Contract limits 1 / 4 / 8 / 12 minis by size, following the Standard contract structure. Prices are the regular list price. Payouts carry a 2% processing fee. A payout processed after the 24-business-hour window pays 100% instead of 90% for that request.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Standard 150K,futures,150000,,one_time,USD,6,3.333,2,trailing,,,5,90,"News trading allowed. The $25K account has no daily loss limit. 40% consistency once funded. $209 is the regular price for the 50K. The supplied price carries an asterisk in the source table, so treat it as provisional. Payouts every 5 days.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Reserve 150K,futures,150000,,one_time,USD,6,,,eod_trailing,,,,90,No daily loss limit. Funded scaling. 5 winning days for a payout. $110 is the regular price for the 25K.,Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Express 150K,futures,150000,,one_time,USD,,,,,,,,90,"Full contract access during the evaluation, with contract scaling once funded. $178 is the regular price for the 50K.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,Direct 150K,futures,150000,824,one_time,USD,,,,,,,,90,"Instant funding, no evaluation. Contract limits 1 / 4 / 8 / 12 minis by size, following the Standard contract structure. Prices are the regular list price. Payouts carry a 2% processing fee. A payout processed after the 24-business-hour window pays 100% instead of 90% for that request.",Deepcharts; NinjaTrader; TradingView; Tradovate,,,,"DXFeed, NinjaTrader",,,
Blueberry Futures,https://blueberryfutures.com/,Ascent EOD 25K,futures,25000,55.6,monthly,USD,6,4,,eod_trailing,2,30,5,90,"One-step evaluation with a 30-day completion period. Price varies. Payouts every 5 days. A monthly subscription, not a one-off: the fee recurs while the account is active, and there are no refunds. No hard daily loss limit — traders set their own in the platform's risk manager. Payout after 5 profitable days, a profitable day being $200.",BlackArrow,,,1/10,BlackArrow,,,
Blueberry Futures,https://blueberryfutures.com/,Accelerated Trailing 25K,futures,25000,44.16,monthly,USD,6,4,,intraday_trailing,1,30,5,90,"30-day completion period. The funded stage requires qualifying days. Maximum contracts 1 / 2 / 6 / 9 minis by size. Price varies. Payouts every 5 days. A monthly subscription, not a one-off. No hard daily loss limit.",BlackArrow,,,1/10,BlackArrow,,,
Blueberry Futures,https://blueberryfutures.com/,Ascent EOD 50K,futures,50000,98,monthly,USD,6,4,,eod_trailing,2,30,5,90,"One-step evaluation with a 30-day completion period. Price varies. Payouts every 5 days. A monthly subscription, not a one-off: the fee recurs while the account is active, and there are no refunds. No hard daily loss limit — traders set their own in the platform's risk manager. Payout after 5 profitable days, a profitable day being $200.",BlackArrow,,,2/20,BlackArrow,,,
Blueberry Futures,https://blueberryfutures.com/,Accelerated Trailing 50K,futures,50000,73.6,monthly,USD,6,4,,intraday_trailing,1,30,5,90,"30-day completion period. The funded stage requires qualifying days. Maximum contracts 1 / 2 / 6 / 9 minis by size. Price varies. Payouts every 5 days. A monthly subscription, not a one-off. No hard daily loss limit.",BlackArrow,,,2/20,BlackArrow,,,
Blueberry Futures,https://blueberryfutures.com/,Ascent EOD 100K,futures,100000,147.2,monthly,USD,6,3,,eod_trailing,2,30,5,90,"One-step evaluation with a 30-day completion period. Price varies. Payouts every 5 days. A monthly subscription, not a one-off: the fee recurs while the account is active, and there are no refunds. No hard daily loss limit — traders set their own in the platform's risk manager. Payout after 5 profitable days, a profitable day being $200.",BlackArrow,,,6/60,BlackArrow,,,
Blueberry Futures,https://blueberryfutures.com/,Accelerated Trailing 100K,futures,100000,110.4,monthly,USD,6,3,,intraday_trailing,1,30,5,90,"30-day completion period. The funded stage requires qualifying days. Maximum contracts 1 / 2 / 6 / 9 minis by size. Price varies. Payouts every 5 days. A monthly subscription, not a one-off. No hard daily loss limit.",BlackArrow,,,6/60,BlackArrow,,,
Blueberry Futures,https://blueberryfutures.com/,Ascent EOD 150K,futures,150000,242.8,monthly,USD,6.667,3,,eod_trailing,2,30,5,90,"One-step evaluation with a 30-day completion period. Price varies. Payouts every 5 days. A monthly subscription, not a one-off: the fee recurs while the account is active, and there are no refunds. No hard daily loss limit — traders set their own in the platform's risk manager. Payout after 5 profitable days, a profitable day being $200.",BlackArrow,,,9/90,BlackArrow,,,
Blueberry Futures,https://blueberryfutures.com/,Accelerated Trailing 150K,futures,150000,181.6,monthly,USD,6.667,3,,intraday_trailing,1,30,5,90,"30-day completion period. The funded stage requires qualifying days. Maximum contracts 1 / 2 / 6 / 9 minis by size. Price varies. Payouts every 5 days. A monthly subscription, not a one-off. No hard daily loss limit.",BlackArrow,,,9/90,BlackArrow,,,
BrightFunded,,2-Step 5K,cfd,5000,41.65,one_time,EUR,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Prices are quoted in EUR.",,,,,,,,
BrightFunded,,2-Step 10K,cfd,10000,82.45,one_time,EUR,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Prices are quoted in EUR.",,,,,,,,
BrightFunded,,1-Step 10K,cfd,10000,67.9,one_time,EUR,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Prices are quoted in EUR.",,,,,,,,
BrightFunded,,2-Step 25K,cfd,25000,167.45,one_time,EUR,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Prices are quoted in EUR.",,,,,,,,
BrightFunded,,2-Step 50K,cfd,50000,252.45,one_time,EUR,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Prices are quoted in EUR.",,,,,,,,
BrightFunded,,2-Step 100K,cfd,100000,422.45,one_time,EUR,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Prices are quoted in EUR.",,,,,,,,
BrightFunded,,2-Step 200K,cfd,200000,847.45,one_time,EUR,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Prices are quoted in EUR.",,,,,,,,
